20230912,大兴,大兴新机场,101118114257,房子满五年独栋别墅花园400平米。必看好房,1308万,38898元/平,底层 (共2层) | 2011年建 | 8室2厅 | 336.27平米 | 东 南 西 北,https://ke-image.ljcdn.com/110000-inspection/2f6604b7-fd9b-465c-8b52-f7609d131e88_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101112702389,龙熙顺景丙区 上叠别墅 边户视野开阔必看好房,459万,30117元/平,中楼层 (共4层) | 2012年建 | 4室2厅 | 152.41平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/6d35f9d6-bc0d-4757-a625-433c289312a5_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101119087228,富力丹麦小镇D区 一层南北通透三居室必看好房,370万,26473元/平,底层 (共5层) | 2011年建 | 3室2厅 | 139.77平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/01327c18-dbdb-481a-a596-6e2e33dfa3d4_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120669711,富力华庭苑西区 视野好 位置好 中楼层,293万,29033元/平,中楼层 (共9层) | 2013年建 | 3室1厅 | 100.92平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/b211bee5-025d-4941-9a4f-01c6efbbf0ae_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120977741,富力华庭苑西区 精装修 看房方便新上,290万,32392元/平,中楼层 (共9层) | 2013年建 | 3室1厅 | 89.53平米 | 东南,https://ke-image.ljcdn.com/110000-inspection/pc1_4GlowY9rY.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120917366,御园A区 2室2厅 南 北新上,200万,23675元/平,底层 (共15层) | 2012年建 | 2室2厅 | 84.48平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/56fc66f6-72c5-4613-9671-4a56eed32197_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120912866,御园C区  南北向全明格局 精装修一居室 有电梯新上,179万,29573元/平,顶层 (共15层) | 2014年建 | 1室1厅 | 60.53平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/c4228b0d-d50a-4af7-a369-09b32cbc8043_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120910052,众美城 2室1厅 南 北新上,245万,32018元/平,顶层 (共9层) | 2014年建 | 2室1厅 | 76.52平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/a5eb7294-e6d3-49eb-a235-9b3208a7bad6_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120904211,富力华庭苑东区 精装修 南北通透三居室新上,318万,31617元/平,中楼层 (共9层) | 2014年建 | 3室2厅 | 100.58平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/a6cd7119-5bcb-42b1-930e-64ed9df7b299_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120897680,富力丹麦小镇D区  纯南向三居 17平米大阳台新上,378万,33097元/平,中楼层 (共8层) | 2012年建 | 3室2厅 | 114.21平米 | 南,https://ke-image.ljcdn.com/110000-inspection/54f8fbaf-fec0-4111-b51c-9c6b130950ea_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120894893,众美城  南向两居室  人车分流  电梯入户新上,240万,29434元/平,中楼层 (共10层) | 2014年建 | 2室1厅 | 81.54平米 | 南,https://ke-image.ljcdn.com/110000-inspection/4fda0a85-f6fa-44c0-9678-cfd60a53b5f1_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120894262,富力华庭苑西区满五唯一好位置精装修诚售新上,310万,30939元/平,中楼层 (共9层) | 2013年建 | 3室2厅 | 100.2平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/ea3603f2-e5bb-4d45-a709-7d960a9671bc_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120890467,隆盛东园业主诚心出售南北通透大三居新上,320万,23858元/平,高楼层 (共6层) | 2003年建 | 3室2厅 | 134.13平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_Ujbs399Gh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120886042,南北通透三居室 格局方正 精装修,320万,31388元/平,中楼层 (共10层) | 2014年建 | 3室2厅 | 101.95平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/da9caef0-8f93-4313-bc16-d16078b2cbff_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120868336,富力华庭苑西区精装三居室保持好不临街无遮挡,310万,30852元/平,中楼层 (共7层) | 2013年建 | 3室1厅 | 100.48平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/ea248fa5-c5bf-44ed-a1b5-da2928f141cd_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120845195,隆盛西园一层两居室南北通透采光充足出行便利,185万,22360元/平,底层 (共6层) | 1999年建 | 2室2厅 | 82.74平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/5f6649ee-8507-432e-82ff-b66f9e5ac2b8_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120823591,隆盛园社区优质三居楼层不高采光充足,262万,19914元/平,顶层 (共4层) 3室1厅 | 131.57平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/d72cb951-5843-4bd6-b799-94621c449096_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120777504,隆盛西园小区满五唯一南北通透采光充足无遮挡配套齐全,182万,21997元/平,高楼层 (共6层) | 1999年建 | 2室2厅 | 82.74平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/2bc65436-18d4-41d3-ac92-4e2d04d4781a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120774301,众美城 3室2厅 南 北,270万,27997元/平,低楼层 (共10层) | 2014年建 | 3室2厅 | 96.44平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/c1e1a30a-aadb-4b74-b78e-742091d59102_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120769789,富力丹麦小镇D区 洋房平层五居,550万,28366元/平,低楼层 (共6层) | 2011年建 | 5室2厅 | 193.9平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/2a760824-18f4-442f-812c-2345601f82db_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120731957,众美城 精装2居 满五年 看房随时,235万,28881元/平,低楼层 (共10层) | 2014年建 | 2室1厅 | 81.37平米 | 南,https://ke-image.ljcdn.com/110000-inspection/989b22fc-862c-46d7-911e-8bc7230e8a13_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120714268,御园A区满五年唯一南北通透小区中间位置房主自荐,220万,25935元/平,低楼层 (共15层) | 2012年建 | 2室1厅 | 84.83平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/f3399c1f-af85-4dc2-913b-fae0af892e7f_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120681500,隆盛园南北通透两居室业主诚心出售看房方便,240万,23660元/平,高楼层 (共6层) | 2003年建 | 2室2厅 | 101.44平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/c2708ce4-82d9-4457-a155-9c4fc69305ce_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120676899,此房有16平米的南向大阳台采光好洋房三居室。,360万,32146元/平,低楼层 (共6层) | 2011年建 | 3室2厅 | 111.99平米 | 南,https://ke-image.ljcdn.com/110000-inspection/b1ce188f-b129-4b19-9b1a-45d3fa296b9e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120667564,隆盛西园小区满五唯一南北通透两居低楼层诚售,180万,21755元/平,底层 (共6层) | 1998年建 | 2室2厅 | 82.74平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/2119d941-bbda-4408-9ef8-cfa249b352ba_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120643429,富力华庭苑西区南北通透三居室业主诚心出售价格可谈,290万,28830元/平,顶层 (共9层) | 2013年建 | 3室2厅 | 100.59平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/74ead1e0-a491-43c5-901c-0b592b338fff_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120575285,南北通透一居室 高楼层 前后无遮挡,162万,28785元/平,高楼层 (共14层) 1室1厅 | 56.28平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/5795f639-df69-4ae4-8004-e5e11bcc7749_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120499545,御园E区南北向一居室边户满五年唯一中间层,157万,27549元/平,中楼层 (共12层) 1室1厅 | 56.99平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/66fc64bb-575b-45dc-937f-e4f130f12e7c_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20230912,大兴,大兴新机场,101120454102,众美城 简装2居 南北通透 看房随时,280万,35520元/平,中楼层 (共10层) | 2014年建 | 2室1厅 | 78.83平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/02ca47ce-0a2c-4818-9e40-d2143bcdec0e_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
