降价房源: 1760万📉1750万 https://bj.ke.com/ershoufang/101122587553.html 20240110,丰台,十里河,101122587553,山水文园五期高层17年南北3居室 前后不临街新上,1750万,101934元/平,中楼层 (共12层) 3室1厅 | 171.68平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/25255875-d4d8-4a83-9821-0a3fcd4f5969_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 575万📉540万 https://bj.ke.com/ershoufang/101120361394.html 20240110,丰台,十里河,101120361394,店长推荐大羊坊路79号院五居复式 改善住宅 精装修,540万,45701元/平,顶层 (共6层) | 1998年 | 5室2厅 | 118.16平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_170cdyNM6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 220万📉216万 https://bj.ke.com/ershoufang/101122421314.html 20240110,昌平,鼓楼大街,101122421314,五街家园国税局宿舍 2室1厅 南 北,216万,36829元/平,底层 (共6层) | 1990年 | 2室1厅 | 58.65平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_McqqG5YXx.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 199万📉197万 https://bj.ke.com/ershoufang/101121129025.html 20240110,昌平,鼓楼大街,101121129025,南环里 2室1厅 西南房主自荐,197万,31102元/平,顶层 (共6层) | 1993年 | 2室1厅 | 63.34平米 | 西南,https://ke-image.ljcdn.com/110000-inspection/6a48a057-8914-4aaf-96a8-5c416f96c21a_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 245万📉239万 https://bj.ke.com/ershoufang/101120635555.html 20240110,昌平,鼓楼大街,101120635555,北环里小区 3室1厅 南 北,239万,33223元/平,中楼层 (共5层) | 1984年 | 3室1厅 | 71.94平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/e7671057-0e6e-4f3f-9694-579c18021a4d_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 179万📉168万 https://bj.ke.com/ershoufang/101116520231.html 20240110,昌平,鼓楼大街,101116520231,北环里小区两居室采光充足配套齐全。,168万,31532元/平,顶层 (共5层) | 1984年 | 2室1厅 | 53.28平米 | 东 南,https://ke-image.ljcdn.com/110000-inspection/55286571-5533-40f4-89be-52846bd634f0_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 168万📉165万 https://bj.ke.com/ershoufang/101119413745.html 20240110,门头沟,大峪,101119413745,惠民家园 低楼层板楼 落地飘窗 业主诚心出售,165万,33626元/平,底层 (共6层) | 2010年 | 1室0厅 | 49.07平米 | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_60snv37K4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 170万📉168万 https://bj.ke.com/ershoufang/101121520044.html 20240110,门头沟,大峪,101121520044,黑山北小街4号院满五唯一南北通透楼层好配套全,168万,28996元/平,中楼层 (共4层) | 1990年 | 2室1厅 | 57.94平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_TO1EmMKbW.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 206万📉203万 https://bj.ke.com/ershoufang/101120993203.html 20240110,门头沟,大峪,101120993203,南北通透 两居室 采光充足 交通便利 生活设施齐全,203万,36776元/平,底层 (共6层) 2室1厅 | 55.2平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_YdNct0VKk_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 330万📉322万 https://bj.ke.com/ershoufang/101120310935.html 20240110,门头沟,大峪,101120310935,新桥61号院复式适合一家人住满五唯一商品房,322万,24041元/平,顶层 (共6层) | 1995年 | 4室1厅 | 133.94平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/bc7850fc-bbca-44c6-8db9-75e2c602d6a2_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 100万📉97万 https://bj.ke.com/ershoufang/101122256151.html 20240110,门头沟,大峪,101122256151,中昂时代广场 交通方便 环境好 配套齐全,97万,17957元/平,中楼层 (共17层) | 2019年 | 2室1厅 | 54.02平米 | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202401081627157
降价房源: 82万📉79万 https://bj.ke.com/ershoufang/101121608070.html 20240110,门头沟,大峪,101121608070,中昂时代广场     位于门头沟区,79万,20817元/平,中楼层 (共19层) | 2019年 | 1室1厅 | 37.95平米 | 西南 西,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202401081627157
降价房源: 245万📉219万 https://bj.ke.com/ershoufang/101116565835.html 20240110,西城,太平桥,101116565835,正规一居 电梯房 地铁9号线六里桥东,219万,45016元/平,低楼层 (共15层) | 1991年 | 1室1厅 | 48.65平米 | 西,https://ke-image.ljcdn.com/110000-inspection/pc1_1DQYDVKeU.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 365万📉359万 https://bj.ke.com/ershoufang/101121627921.html 20240110,西城,太平桥,101121627921,太平桥西里 南北两居室 户型方正 格局合理 采光无遮挡,359万,61589元/平,高楼层 (共6层) | 1993年 | 2室1厅 | 58.29平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_vv3YCccbA_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 305万📉290万 https://bj.ke.com/ershoufang/101122226927.html 20240110,房山,长阳,101122226927,首开熙悦山澜庭  精装修 保持状态好 采光好 视野开阔,290万,41584元/平,低楼层 (共21层) | 2014年 | 2室1厅 | 69.74平米 | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_wa5mQZOEX.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 479万📉465万 https://bj.ke.com/ershoufang/101121822350.html 20240110,房山,长阳,101121822350,万科新里程59号院3-1-1-1 102.58m²,465万,45331元/平,中楼层 (共12层) | 2015年 | 3室1厅 | 102.58平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_HRrHDphWz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 178万📉175万 https://bj.ke.com/ershoufang/101121708768.html 20240110,房山,长阳,101121708768,康泽佳苑南区精装修两居中间楼层价格可谈,175万,32846元/平,中楼层 (共28层) | 2014年 | 2室1厅 | 53.28平米 | 东南,https://ke-image.ljcdn.com/110000-inspection/pc1_s7E0fx68z.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 180万📉175万 https://bj.ke.com/ershoufang/101121610970.html 20240110,房山,长阳,101121610970,清苑嘉园 精装一室一厅 出行方便配套齐全房主自荐,175万,29230元/平,低楼层 (共15层) | 2017年 | 1室1厅 | 59.87平米 | 东 西,https://ke-image.ljcdn.com/110000-inspection/pc1_Mxcorhcww_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 508万📉499万 https://bj.ke.com/ershoufang/101121530590.html 20240110,房山,长阳,101121530590,长阳半岛怡和南路8号院 3室1厅 南 北,499万,46153元/平,中楼层 (共11层) 3室1厅 | 108.12平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_riliICxJH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 249万📉239万 https://bj.ke.com/ershoufang/101120407227.html 20240110,房山,长阳,101120407227,康泽佳苑北区满五唯一精装中高层看房方便。,239万,39531元/平,中楼层 (共25层) 1室1厅 | 60.46平米 | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_fcbs2xuTH_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 308万📉296万 https://bj.ke.com/ershoufang/101120289660.html 20240110,房山,长阳,101120289660,万科金域缇香南北通透满五唯一两居室业主诚心出售,296万,33652元/平,中楼层 (共17层) | 2014年 | 2室1厅 | 87.96平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_MgOTZx22i_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 228万📉210万 https://bj.ke.com/ershoufang/101118512722.html 20240110,房山,长阳,101118512722,长景新园 业主诚心出售 看房预约,210万,38448元/平,中楼层 (共6层) | 2011年 | 1室1厅 | 54.62平米 | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_XPxGfoTFh.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 219万📉215万 https://bj.ke.com/ershoufang/101117918850.html 20240110,房山,长阳,101117918850,加州水郡四期 东向两居 高楼层 视野宽阔 采光充足,215万,24275元/平,高楼层 (共15层) 2室1厅 | 88.57平米 | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_tHuSyxr9U.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 246万📉235万 https://bj.ke.com/ershoufang/101122574056.html 20240110,房山,长阳,101122574056,加州水郡三期 2室1厅 南 北新上,235万,27808元/平,低楼层 (共15层) 2室1厅 | 84.51平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_SqoEJmEFs.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 230万📉190万 https://bj.ke.com/ershoufang/101122441785.html 20240110,房山,长阳,101122441785,铭品嘉苑 1室1厅 南,190万,26981元/平,低楼层 (共20层) 1室1厅 | 70.42平米 | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_oVz5c0EWw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 339万📉333万 https://bj.ke.com/ershoufang/101121822571.html 20240110,房山,长阳,101121822571,此房满五年唯一住房视野开阔采光充足；,333万,37910元/平,高楼层 (共28层) | 2012年 | 2室1厅 | 87.84平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_pTa9DoUxn.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
降价房源: 470万📉458万 https://bj.ke.com/ershoufang/101121758360.html 20240110,房山,长阳,101121758360,首创新悦都二区 3室1厅 南 北,458万,26570元/平,底层 (共9层) 3室1厅 | 172.38平米 | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_N4xZkwF6h_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
