20230616,房山,房山其它,向阳峪二区,12380元/m2,7套在售二手房
20230616,房山,房山其它,金鸽园小区,48320元/m2,2套在售二手房
20230616,房山,房山其它,燕麓苑西区,15984元/m2,5套在售二手房
20230616,房山,房山其它,惠景新苑,11736元/m2,27套在售二手房
20230616,房山,房山其它,燕麓苑东区,14278元/m2,2套在售二手房
20230616,房山,房山其它,亚新一里,13906元/m2,5套在售二手房
20230616,房山,房山其它,V7荷塘月色,21867元/m2,15套在售二手房
20230616,房山,房山其它,西岗街,14435元/m2,3套在售二手房
20230616,房山,房山其它,原新街,19009元/m2,1套在售二手房
20230616,房山,房山其它,天恒摩墅,26226元/m2,23套在售二手房
20230616,房山,房山其它,西山湖佳苑,24126元/m2,10套在售二手房
20230616,房山,房山其它,原新西路,14773元/m2,2套在售二手房
20230616,房山,房山其它,东平街,14553元/m2,1套在售二手房
20230616,房山,房山其它,泳池路,16504元/m2,1套在售二手房
20230616,房山,房山其它,长海御墅,17218元/m2,30套在售二手房
20230616,房山,房山其它,塑料机械厂宿舍,暂无数据,0套在售二手房
20230616,房山,房山其它,泰达民族小区,暂无数据,0套在售二手房
20230616,房山,房山其它,天合嘉园,暂无数据,0套在售二手房
20230616,房山,房山其它,瓦井村,暂无数据,0套在售二手房
20230616,房山,房山其它,西山小镇,暂无数据,0套在售二手房
20230616,房山,房山其它,西厢苑社区,暂无数据,0套在售二手房
20230616,房山,房山其它,尚乐城,暂无数据,0套在售二手房
20230616,房山,房山其它,龙乡苑,暂无数据,0套在售二手房
20230616,房山,房山其它,金鸽园东区,暂无数据,0套在售二手房
20230616,房山,房山其它,云居长河湾,暂无数据,0套在售二手房
20230616,房山,房山其它,良乡修造厂四区,暂无数据,0套在售二手房
20230616,房山,房山其它,西厢苑B区,暂无数据,0套在售二手房
20230616,房山,房山其它,福鼎广场,暂无数据,0套在售二手房
20230616,房山,房山其它,天瑞嘉园,暂无数据,0套在售二手房
20230616,房山,房山其它,南韩苑小区,暂无数据,0套在售二手房
20230616,房山,房山其它,南韩苑小区,暂无数据,0套在售二手房
20230616,房山,房山其它,新街,暂无数据,0套在售二手房
20230616,房山,房山其它,西厢苑B区,暂无数据,0套在售二手房
20230616,房山,房山其它,云居长河湾,暂无数据,0套在售二手房
20230616,房山,房山其它,良乡修造厂四区,暂无数据,0套在售二手房
20230616,房山,房山其它,龙乡苑,暂无数据,0套在售二手房
20230616,房山,房山其它,金鸽园东区,暂无数据,0套在售二手房
20230616,房山,房山其它,风华园,暂无数据,0套在售二手房
20230616,房山,房山其它,金鸽园南区,暂无数据,0套在售二手房
20230616,房山,房山其它,万紫嘉园南区,暂无数据,0套在售二手房
20230616,房山,房山其它,东沿村新村,暂无数据,0套在售二手房
20230616,房山,房山其它,房山区委党校小区,15035元/m2,1套在售二手房
20230616,房山,房山其它,云居服装厂家属楼,20659元/m2,0套在售二手房
20230616,房山,房山其它,仙人居,暂无数据,0套在售二手房
20230616,房山,房山其它,金樾和著,暂无数据,0套在售二手房
20230616,房山,房山其它,旭辉城,暂无数据,0套在售二手房
20230616,房山,房山其它,中骏云景台,暂无数据,0套在售二手房
20230616,房山,房山其它,鑫山矿社区,11748元/m2,0套在售二手房
20230616,房山,房山其它,绿茵小镇,暂无数据,0套在售二手房
20230616,房山,房山其它,大桃园,暂无数据,0套在售二手房
20230616,房山,房山其它,万科七橡墅,暂无数据,0套在售二手房
