20230616,西城,宣武门,四合上院,170635元/m2,15套在售二手房
20230616,西城,宣武门,佘家胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,三井胡同,暂无数据,1套在售二手房
20230616,西城,宣武门,培智胡同,133226元/m2,3套在售二手房
20230616,西城,宣武门,权盛里,99820元/m2,4套在售二手房
20230616,西城,宣武门,前门西大街,130990元/m2,19套在售二手房
20230616,西城,宣武门,南柳巷,86435元/m2,4套在售二手房
20230616,西城,宣武门,铁树斜街,121114元/m2,2套在售二手房
20230616,西城,宣武门,宣武门外西里,113267元/m2,1套在售二手房
20230616,西城,宣武门,樱桃斜街,173827元/m2,1套在售二手房
20230616,西城,宣武门,庄胜二期,162056元/m2,24套在售二手房
20230616,西城,宣武门,庄胜商住楼,121409元/m2,1套在售二手房
20230616,西城,宣武门,前门西河沿街,210998元/m2,2套在售二手房
20230616,西城,宣武门,西杨茅胡同,暂无数据,1套在售二手房
20230616,西城,宣武门,校场口小九条,141319元/m2,1套在售二手房
20230616,西城,宣武门,棉花下二条,暂无数据,1套在售二手房
20230616,西城,宣武门,校场小八条,暂无数据,1套在售二手房
20230616,西城,宣武门,广安西里,暂无数据,0套在售二手房
20230616,西城,宣武门,富卓花园,151781元/m2,1套在售二手房
20230616,西城,宣武门,东南园,110220元/m2,1套在售二手房
20230616,西城,宣武门,和平门外东街,144633元/m2,5套在售二手房
20230616,西城,宣武门,红线胡同,暂无数据,2套在售二手房
20230616,西城,宣武门,厂甸11号院,127897元/m2,8套在售二手房
20230616,西城,宣武门,建学胡同,105188元/m2,3套在售二手房
20230616,西城,宣武门,梁家园东胡同甲1号院,116601元/m2,3套在售二手房
20230616,西城,宣武门,老墙根街平房,141032元/m2,1套在售二手房
20230616,西城,宣武门,梁家园西胡同,150547元/m2,1套在售二手房
20230616,西城,宣武门,校场五条,暂无数据,1套在售二手房
20230616,西城,宣武门,铁鸟胡同,暂无数据,1套在售二手房
20230616,西城,宣武门,博兴胡同,暂无数据,1套在售二手房
20230616,西城,宣武门,海格国际,97037元/m2,11套在售二手房
20230616,西城,宣武门,宣武门外东大街,129237元/m2,23套在售二手房
20230616,西城,宣武门,校场小六条,暂无数据,1套在售二手房
20230616,西城,宣武门,博兴胡同,暂无数据,1套在售二手房
20230616,西城,宣武门,魏染胡同,102826元/m2,2套在售二手房
20230616,西城,宣武门,安平里,140943元/m2,4套在售二手房
20230616,西城,宣武门,椿树园,129863元/m2,53套在售二手房
20230616,西城,宣武门,大六条胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,抬头巷,暂无数据,0套在售二手房
20230616,西城,宣武门,藏家桥胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,校场四条,暂无数据,0套在售二手房
20230616,西城,宣武门,廊坊三条,暂无数据,0套在售二手房
20230616,西城,宣武门,校场小七条,194760元/m2,0套在售二手房
20230616,西城,宣武门,西太平巷,暂无数据,0套在售二手房
20230616,西城,宣武门,琉璃巷,暂无数据,0套在售二手房
20230616,西城,宣武门,庄胜广场中央办公楼,暂无数据,0套在售二手房
20230616,西城,宣武门,小沙土园,暂无数据,0套在售二手房
20230616,西城,宣武门,小外廊营胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,宣武门外东里,137251元/m2,0套在售二手房
20230616,西城,宣武门,宣东花园,暂无数据,0套在售二手房
20230616,西城,宣武门,小力胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,西南园,暂无数据,0套在售二手房
20230616,西城,宣武门,小椿树胡同,暂无数据,0套在售二手房
20230616,西城,宣武门,校场口,150163元/m2,0套在售二手房
