20231010,延庆,延庆其它,龙聚山庄,13762元/m2,24套在售二手房
20231010,延庆,延庆其它,清凉盛景,30013元/m2,15套在售二手房
20231010,延庆,延庆其它,高塔小区,32567元/m2,1套在售二手房
20231010,延庆,延庆其它,八达岭住宅小区,11953元/m2,8套在售二手房
20231010,延庆,延庆其它,燕水佳园,暂无数据,1套在售二手房
20231010,延庆,延庆其它,上都首府家园,22243元/m2,3套在售二手房
20231010,延庆,延庆其它,新兴小区,23308元/m2,1套在售二手房
20231010,延庆,延庆其它,悦泽苑,45180元/m2,2套在售二手房
20231010,延庆,延庆其它,温泉南区东里,26338元/m2,1套在售二手房
20231010,延庆,延庆其它,温泉西里,20990元/m2,1套在售二手房
20231010,延庆,延庆其它,格兰山水二期北区,暂无数据,1套在售二手房
20231010,延庆,延庆其它,双路小区,24548元/m2,3套在售二手房
20231010,延庆,延庆其它,岔道小区,11465元/m2,5套在售二手房
20231010,延庆,延庆其它,城建万科城,16767元/m2,57套在售二手房
20231010,延庆,延庆其它,石河营小区,暂无数据,1套在售二手房
20231010,延庆,延庆其它,龙庆望都佳园,13069元/m2,5套在售二手房
20231010,延庆,延庆其它,川北小区,暂无数据,3套在售二手房
20231010,延庆,延庆其它,康庄住宅小区,11603元/m2,2套在售二手房
20231010,延庆,延庆其它,湖南小区,34798元/m2,0套在售二手房
20231010,延庆,延庆其它,八达岭山庄,28627元/m2,3套在售二手房
20231010,延庆,延庆其它,格兰山水2期南区,暂无数据,1套在售二手房
20231010,延庆,延庆其它,辉煌云上,暂无数据,1套在售二手房
20231010,延庆,延庆其它,康庄家园,14638元/m2,2套在售二手房
20231010,延庆,延庆其它,温泉馨苑,32500元/m2,0套在售二手房
20231010,延庆,延庆其它,阳光假日金棕苑一期,28269元/m2,0套在售二手房
20231010,延庆,延庆其它,阳光假日玫瑰山谷,暂无数据,0套在售二手房
20231010,延庆,延庆其它,莲花苑小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,尚书苑小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,北关小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,绿韵廣場,暂无数据,0套在售二手房
20231010,延庆,延庆其它,北关小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,绿韵廣場,暂无数据,0套在售二手房
20231010,延庆,延庆其它,兴隆南街1号院,12870元/m2,0套在售二手房
20231010,延庆,延庆其它,南菜园二区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,恒安社区,21584元/m2,0套在售二手房
20231010,延庆,延庆其它,石河营东街,31515元/m2,0套在售二手房
20231010,延庆,延庆其它,胜芳园,暂无数据,0套在售二手房
20231010,延庆,延庆其它,孟家庄路61号院,暂无数据,0套在售二手房
20231010,延庆,延庆其它,兴运嘉园,暂无数据,0套在售二手房
20231010,延庆,延庆其它,体育场小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,融景美庐,暂无数据,0套在售二手房
20231010,延庆,延庆其它,儒林苑小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,舜泽园,25037元/m2,0套在售二手房
20231010,延庆,延庆其它,颖泽洲社区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,悦安居小区,20766元/m2,0套在售二手房
20231010,延庆,延庆其它,东外小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,阳光假日别墅,20129元/m2,0套在售二手房
20231010,延庆,延庆其它,西湖园,暂无数据,0套在售二手房
20231010,延庆,延庆其它,康安小区,25668元/m2,0套在售二手房
20231010,延庆,延庆其它,南菜园北二区,暂无数据,1套在售二手房
20231010,延庆,延庆其它,妫河丽景,暂无数据,0套在售二手房
20231010,延庆,延庆其它,香苑小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,永安小区,18962元/m2,0套在售二手房
20231010,延庆,延庆其它,国润家园,暂无数据,0套在售二手房
20231010,延庆,延庆其它,北京夏都湾,暂无数据,0套在售二手房
20231010,延庆,延庆其它,湖北小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,温泉小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,观澜国际公寓,暂无数据,0套在售二手房
20231010,延庆,延庆其它,汤VILLA,暂无数据,0套在售二手房
20231010,延庆,延庆其它,泰安社区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,农夫家园,28738元/m2,0套在售二手房
20231010,延庆,延庆其它,温泉小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,博园中路二号院,暂无数据,0套在售二手房
20231010,延庆,延庆其它,缙阳小区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,泰安社区,暂无数据,0套在售二手房
20231010,延庆,延庆其它,妫水南街18号院,暂无数据,0套在售二手房
