date,city_ch,district,area,xiaoqu,price,sale,type
20240821,北京,昌平,东关,畅椿阁,34134元,7套在售二手房,昌平东关/板楼/塔板结合/1993-2010年
20240821,北京,昌平,东关,东关北里小区,35495元,30套在售二手房,昌平东关/板楼/1987-2004年
20240821,北京,昌平,东关,东关二条,40777元,8套在售二手房,昌平东关/板楼/1984-1998年
20240821,北京,昌平,东关,佳莲二期,33264元,8套在售二手房,昌平东关/板楼/2005年
20240821,北京,昌平,东关,清秀园南区,32052元,29套在售二手房,昌平东关/板楼/1988-2004年
20240821,北京,昌平,东关,水晶屿,暂无数据,6套在售二手房,昌平东关/塔楼/2016年
20240821,北京,昌平,东关,交通队宿舍楼,29091元,2套在售二手房,昌平东关/板楼/1999-2000年
20240821,北京,昌平,东关,金隅澜湾,58146元,8套在售二手房,昌平东关/塔楼/板楼/2013-2015年
20240821,北京,昌平,东关,昌盛园二区,33174元,29套在售二手房,昌平东关/板楼/塔板结合/1994-2004年
20240821,北京,昌平,东关,昌盛园三区,37022元,7套在售二手房,昌平东关/板楼/2003-2005年
20240821,北京,昌平,东关,昌盛园一区,36106元,22套在售二手房,昌平东关/板楼/塔板结合/1994-2004年
20240821,北京,昌平,东关,宁馨苑,33150元,47套在售二手房,昌平东关/板楼/2001-2005年
20240821,北京,昌平,东关,福地家园,33921元,7套在售二手房,昌平东关/板楼/2000-2004年
20240821,北京,昌平,东关,果岭小镇,38708元,22套在售二手房,昌平东关/板楼/2005-2008年
20240821,北京,昌平,东关,亢山前路1号院,38632元,1套在售二手房,昌平东关/板楼/1994-2003年
20240821,北京,昌平,东关,昌盛园四区,35468元,6套在售二手房,昌平东关/板楼/1997-2005年
20240821,北京,昌平,东关,金隅观澜时代,45500元,15套在售二手房,昌平东关/塔楼/板楼/塔板结合/2011-2013年
20240821,北京,昌平,东关,石油大学松园宿舍,30106元,2套在售二手房,昌平东关/板楼/1985-2001年
20240821,北京,昌平,东关,清朗园,35119元,4套在售二手房,昌平东关/板楼/1984-2002年
20240821,北京,昌平,东关,北京风景68号院,41170元,9套在售二手房,昌平东关/板楼/2013-2015年
20240821,北京,昌平,东关,管厂宿舍,30965元,3套在售二手房,昌平东关/板楼/1979-2009年
20240821,北京,昌平,东关,金地家园,35491元,5套在售二手房,昌平东关/板楼/2008-2010年
20240821,北京,昌平,东关,金隅嘉和园,36121元,15套在售二手房,昌平东关/板楼/塔板结合/2010-2011年
20240821,北京,昌平,东关,亢山佳园小区,35855元,15套在售二手房,昌平东关/板楼/2001-2004年
20240821,北京,昌平,东关,富泉花园,41012元,12套在售二手房,昌平东关/板楼/1994-2007年
20240821,北京,昌平,东关,随园,38092元,22套在售二手房,昌平东关/板楼/2009年
20240821,北京,昌平,东关,燕平家园,35192元,13套在售二手房,昌平东关/塔楼/板楼/1988-2005年
20240821,北京,昌平,东关,富康路甲18号,21295元,1套在售二手房,昌平东关/未知类型/2001年
20240821,北京,昌平,东关,创新路2号院,44406元,4套在售二手房,昌平东关/板楼/塔板结合/2007-2016年
20240821,北京,昌平,东关,龙水路22号院,37260元,10套在售二手房,昌平东关/板楼/1980-2008年
20240821,北京,昌平,东关,北京风景66号院,45470元,4套在售二手房,昌平东关/板楼/2011-2015年
20240821,北京,昌平,东关,北京风景65号院,39037元,9套在售二手房,昌平东关/板楼/2013-2015年
20240821,北京,昌平,东关,北京风景67号院,38352元,10套在售二手房,昌平东关/板楼/2013-2015年
20240821,北京,昌平,东关,北京怡园,45165元,59套在售二手房,昌平东关/板楼/2007-2016年
20240821,北京,昌平,东关,世涛天朗,39107元,28套在售二手房,昌平东关/板楼/2004-2008年
20240821,北京,昌平,东关,东环路小区,37515元,16套在售二手房,昌平东关/塔楼/板楼/1986-2002年
20240821,北京,昌平,东关,红石座,暂无数据,12套在售二手房,昌平东关/塔楼/板楼/2004-2018年
20240821,北京,昌平,东关,京科苑,34624元,72套在售二手房,昌平东关/塔楼/板楼/塔板结合/1993-2007年
20240821,北京,昌平,东关,东关南里小区,36041元,52套在售二手房,昌平东关/板楼/1987-2010年
20240821,北京,昌平,东关,清秀园北区,34211元,43套在售二手房,昌平东关/塔楼/板楼/塔板结合/1984-2008年
20240821,北京,昌平,东关,水关新村,33904元,68套在售二手房,昌平东关/板楼/1987-2002年
20240821,北京,昌平,东关,建安里小区,34148元,31套在售二手房,昌平东关/塔楼/板楼/平房/1992-2008年
20240821,北京,昌平,东关,自在居,暂无数据,0套在售二手房,昌平东关/塔楼/未知
20240821,北京,昌平,东关,中国石油大学家属院,暂无数据,0套在售二手房,昌平东关/板楼/1988年
20240821,北京,昌平,东关,六亭饭店北楼,暂无数据,0套在售二手房,昌平东关/未知类型/未知
20240821,北京,昌平,东关,政法大学宿舍楼,暂无数据,0套在售二手房,昌平东关/板楼/未知
20240821,北京,昌平,东关,亢山前路3号院,暂无数据,0套在售二手房,昌平东关/未知类型/未知
20240821,北京,昌平,东关,梧桐山语,暂无数据,0套在售二手房,昌平东关/未知类型/未知
