date,city_ch,district,area,xiaoqu,price,sale,type
20240821,北京,朝阳,管庄,东卫城,35380元,4套在售二手房,朝阳管庄/塔楼/1997-2021年
20240821,北京,朝阳,管庄,管庄北一里,39238元,6套在售二手房,朝阳管庄/板楼/1954-1998年
20240821,北京,朝阳,管庄,管庄东里,42241元,23套在售二手房,朝阳管庄/板楼/1954-2000年
20240821,北京,朝阳,管庄,汇鸿家园,49175元,11套在售二手房,朝阳管庄/塔楼/板楼/塔板结合/2004-2006年
20240821,北京,朝阳,管庄,华龙美树,52304元,28套在售二手房,朝阳管庄/板楼/2004-2008年
20240821,北京,朝阳,管庄,建东苑,41200元,41套在售二手房,朝阳管庄/板楼/1999-2004年
20240821,北京,朝阳,管庄,京通苑,39642元,78套在售二手房,朝阳管庄/塔楼/板楼/塔板结合/1995-2005年
20240821,北京,朝阳,管庄,朗廷,暂无数据,2套在售二手房,朝阳管庄/塔楼/2008-2010年
20240821,北京,朝阳,管庄,烟厂宿舍,49962元,9套在售二手房,朝阳管庄/板楼/1985-2000年
20240821,北京,朝阳,管庄,周井大院,38578元,5套在售二手房,朝阳管庄/板楼/1955-2001年
20240821,北京,朝阳,管庄,管庄南街,49416元,3套在售二手房,朝阳管庄/板楼/1998年
20240821,北京,朝阳,管庄,瑞祥里,39394元,28套在售二手房,朝阳管庄/板楼/塔板结合/2004-2021年
20240821,北京,朝阳,管庄,尚东阁,43426元,11套在售二手房,朝阳管庄/板楼/塔板结合/2009-2010年
20240821,北京,朝阳,管庄,管庄西里,43206元,74套在售二手房,朝阳管庄/塔楼/板楼/塔板结合/1976-2005年
20240821,北京,朝阳,管庄,北岸1292,暂无数据,0套在售二手房,朝阳管庄/板楼/塔板结合/2009年
20240821,北京,朝阳,管庄,众亿嘉园,暂无数据,0套在售二手房,朝阳管庄/板楼/塔板结合/2010-2011年
20240821,北京,朝阳,管庄,沁园,暂无数据,0套在售二手房,朝阳管庄/塔板结合/2009-2013年
20240821,北京,朝阳,管庄,瑞祥里B6区,暂无数据,0套在售二手房,朝阳管庄/板楼/2006年
20240821,北京,朝阳,管庄,东军庄,暂无数据,0套在售二手房,朝阳管庄/板楼/1987-2004年
