date,city_ch,district,area,xiaoqu,price,sale,type
20240821,北京,朝阳,国展,新天第,73713元,7套在售二手房,朝阳国展/塔楼/2000-2003年
20240821,北京,朝阳,国展,芳馨园,79626元,3套在售二手房,朝阳国展/塔板结合/2000-2004年
20240821,北京,朝阳,国展,静安苑,50487元,1套在售二手房,朝阳国展/板楼/2001年
20240821,北京,朝阳,国展,静安西街,73474元,6套在售二手房,朝阳国展/塔楼/板楼/1990-1996年
20240821,北京,朝阳,国展,瑞福楼,67204元,3套在售二手房,朝阳国展/塔板结合/2002年
20240821,北京,朝阳,国展,润民柳芳居,86123元,2套在售二手房,朝阳国展/板楼/2001-2004年
20240821,北京,朝阳,国展,左家庄西街5号院,75941元,2套在售二手房,朝阳国展/板楼/1994年
20240821,北京,朝阳,国展,左家庄西街1号院,63947元,5套在售二手房,朝阳国展/板楼/塔板结合/1994-1998年
20240821,北京,朝阳,国展,左家庄南里,63806元,23套在售二手房,朝阳国展/板楼/塔板结合/1954-1996年
20240821,北京,朝阳,国展,豪成大厦,50399元,14套在售二手房,朝阳国展/塔楼/2008年
20240821,北京,朝阳,国展,国际友谊花园,68794元,21套在售二手房,朝阳国展/塔楼/1997-1998年
20240821,北京,朝阳,国展,浩鸿园,79210元,14套在售二手房,朝阳国展/塔楼/2000-2005年
20240821,北京,朝阳,国展,香河园中里,63636元,19套在售二手房,朝阳国展/塔楼/板楼/1980-1993年
20240821,北京,朝阳,国展,MASTER领域,54296元,24套在售二手房,朝阳国展/塔楼/2008年
20240821,北京,朝阳,国展,力鸿花园,77829元,34套在售二手房,朝阳国展/塔楼/板楼/平房/1997-2001年
20240821,北京,朝阳,国展,柳芳南里,73468元,36套在售二手房,朝阳国展/塔楼/板楼/塔板结合/1984-2017年
20240821,北京,朝阳,国展,柳芳北里,68732元,42套在售二手房,朝阳国展/塔楼/板楼/塔板结合/1982-2019年
20240821,北京,朝阳,国展,林达大厦,暂无数据,11套在售二手房,朝阳国展/塔楼/1999-2000年
20240821,北京,朝阳,国展,左家庄东里,66555元,29套在售二手房,朝阳国展/塔楼/板楼/塔板结合/1990-2000年
20240821,北京,朝阳,国展,左家庄北里,63537元,60套在售二手房,朝阳国展/塔楼/板楼/塔板结合/1979-1997年
20240821,北京,朝阳,国展,静安东里,65270元,32套在售二手房,朝阳国展/塔楼/板楼/1980-1995年
20240821,北京,朝阳,国展,左家庄西街,54876元,15套在售二手房,朝阳国展/板楼/1991-2000年
20240821,北京,朝阳,国展,左家庄,61264元,15套在售二手房,朝阳国展/板楼/1962-1993年
20240821,北京,朝阳,国展,静安里,61848元,62套在售二手房,朝阳国展/塔楼/板楼/1961-1998年
20240821,北京,朝阳,国展,百灵大厦,暂无数据,0套在售二手房,朝阳国展/板楼/未知
20240821,北京,朝阳,国展,静安庄一区,59012元,0套在售二手房,朝阳国展/板楼/1979-1992年
20240821,北京,朝阳,国展,左家庄甲12号院,59751元,0套在售二手房,朝阳国展/板楼/1978-1981年
20240821,北京,朝阳,国展,国门大厦,暂无数据,0套在售二手房,朝阳国展/板楼/1995年
