date,city_ch,district,area,xiaoqu,price,sale,type
20240821,北京,朝阳,双井,东环18公寓,68896元,6套在售二手房,朝阳双井/板楼/2002-2003年
20240821,北京,朝阳,双井,双井东院,60934元,14套在售二手房,朝阳双井/板楼/塔板结合/1979-1990年
20240821,北京,朝阳,双井,双井北里,61370元,12套在售二手房,朝阳双井/塔楼/板楼/1980-1991年
20240821,北京,朝阳,双井,双花园南里一区,62981元,29套在售二手房,朝阳双井/塔楼/板楼/1997-2001年
20240821,北京,朝阳,双井,双花园西里,64230元,45套在售二手房,朝阳双井/板楼/1982-1999年
20240821,北京,朝阳,双井,双花园南里二区,73402元,19套在售二手房,朝阳双井/塔楼/板楼/塔板结合/2002-2004年
20240821,北京,朝阳,双井,双花园南里,58813元,18套在售二手房,朝阳双井/板楼/1980-1993年
20240821,北京,朝阳,双井,CBD总部公寓二期,91354元,28套在售二手房,朝阳双井/塔楼/板楼/2003-2015年
20240821,北京,朝阳,双井,CBD总部公寓一期,96067元,9套在售二手房,朝阳双井/板楼/塔板结合/2004年
20240821,北京,朝阳,双井,富力十号,156662元,10套在售二手房,朝阳双井/板楼/2006-2013年
20240821,北京,朝阳,双井,非常生活,68315元,14套在售二手房,朝阳双井/塔楼/2004年
20240821,北京,朝阳,双井,富力城B区,103837元,37套在售二手房,朝阳双井/板楼/塔板结合/平房/2003-2006年
20240821,北京,朝阳,双井,富力城C区,102140元,58套在售二手房,朝阳双井/塔楼/板楼/塔板结合/2005-2006年
20240821,北京,朝阳,双井,富力城E区,105768元,12套在售二手房,朝阳双井/塔楼/板楼/2007-2009年
20240821,北京,朝阳,双井,东三环南路,51165元,10套在售二手房,朝阳双井/塔楼/板楼/1980-2001年
20240821,北京,朝阳,双井,乐成国际,100913元,21套在售二手房,朝阳双井/板楼/塔板结合/2005-2007年
20240821,北京,朝阳,双井,双井黄木厂6号院,57611元,9套在售二手房,朝阳双井/板楼/塔板结合/1992-1993年
20240821,北京,朝阳,双井,海关总署,117897元,3套在售二手房,朝阳双井/板楼/平房/2006-2008年
20240821,北京,朝阳,双井,广馨居,59028元,7套在售二手房,朝阳双井/塔楼/板楼/2000-2001年
20240821,北京,朝阳,双井,广渠路,56355元,9套在售二手房,朝阳双井/塔楼/塔板结合/1980-1990年
20240821,北京,朝阳,双井,广渠门外大街路北区,67071元,14套在售二手房,朝阳双井/塔楼/板楼/1975-1990年
20240821,北京,朝阳,双井,A派公寓,99258元,26套在售二手房,朝阳双井/板楼/塔板结合/2006-2008年
20240821,北京,朝阳,双井,黄木庄3号院,62332元,5套在售二手房,朝阳双井/塔楼/1991年
20240821,北京,朝阳,双井,合生国际花园,95355元,54套在售二手房,朝阳双井/塔楼/板楼/塔板结合/平房/2002-2008年
20240821,北京,朝阳,双井,世桥国贸,78466元,9套在售二手房,朝阳双井/塔楼/板楼/塔板结合/2002-2003年
20240821,北京,朝阳,双井,怡馨园,68307元,14套在售二手房,朝阳双井/塔楼/板楼/1998-1999年
20240821,北京,朝阳,双井,首城国际中心,暂无数据,11套在售二手房,朝阳双井/塔板结合/2012-2013年
20240821,北京,朝阳,双井,首城国际C区,100470元,10套在售二手房,朝阳双井/板楼/2011年
20240821,北京,朝阳,双井,华腾园,69848元,80套在售二手房,朝阳双井/塔楼/2000-2004年
20240821,北京,朝阳,双井,苹果社区南区,80871元,102套在售二手房,朝阳双井/塔板结合/2004-2013年
20240821,北京,朝阳,双井,华腾园,69848元,80套在售二手房,朝阳双井/塔楼/2000-2004年
20240821,北京,朝阳,双井,富力城A区,100677元,119套在售二手房,朝阳双井/塔楼/塔板结合/2003-2012年
20240821,北京,朝阳,双井,首城国际A区,82626元,29套在售二手房,朝阳双井/塔楼/板楼/塔板结合/平房/2010-2013年
20240821,北京,朝阳,双井,苹果社区北区,55137元,72套在售二手房,朝阳双井/塔楼/2006-2008年
20240821,北京,朝阳,双井,九龙花园,57439元,71套在售二手房,朝阳双井/塔楼/板楼/塔板结合/1998-2004年
20240821,北京,朝阳,双井,天之骄子,83889元,21套在售二手房,朝阳双井/板楼/塔板结合/2005-2006年
20240821,北京,朝阳,双井,首城国际B区,93961元,27套在售二手房,朝阳双井/塔楼/板楼/塔板结合/2010-2012年
20240821,北京,朝阳,双井,首城国际D区,92945元,14套在售二手房,朝阳双井/板楼/2010-2011年
20240821,北京,朝阳,双井,百环家园,56297元,82套在售二手房,朝阳双井/塔楼/板楼/平房/2004-2010年
20240821,北京,朝阳,双井,时代国际嘉园,83749元,54套在售二手房,朝阳双井/塔楼/板楼/塔板结合/2006-2007年
20240821,北京,朝阳,双井,CBD总部公寓三期,暂无数据,0套在售二手房,朝阳双井/塔板结合/2008-2009年
20240821,北京,朝阳,双井,东环国际大厦,暂无数据,0套在售二手房,朝阳双井/塔楼/2003年
20240821,北京,朝阳,双井,顺迈金钻,暂无数据,0套在售二手房,朝阳双井/塔楼/板楼/2006年
20240821,北京,朝阳,双井,富力中心,暂无数据,0套在售二手房,朝阳双井/塔楼/2005年
20240821,北京,朝阳,双井,富力双子座,暂无数据,0套在售二手房,朝阳双井/塔楼/2004-2005年
20240821,北京,朝阳,双井,富邦国际大厦,暂无数据,0套在售二手房,朝阳双井/塔楼/未知
20240821,北京,朝阳,双井,御宸上院,暂无数据,0套在售二手房,朝阳双井/板楼/2002-2014年
20240821,北京,朝阳,双井,京运盛通大厦,暂无数据,0套在售二手房,朝阳双井/塔楼/未知
20240821,北京,朝阳,双井,富力城19街,暂无数据,0套在售二手房,朝阳双井/板楼/2015年
