date,city_ch,district,area,xiaoqu,price,sale,type
20240821,北京,大兴,义和庄,万科天地,34446元,13套在售二手房,大兴义和庄/塔楼/板楼/塔板结合/2014-2018年
20240821,北京,大兴,义和庄,恒大未来城,35287元,30套在售二手房,大兴义和庄/塔楼/塔板结合/2017-2018年
20240821,北京,大兴,义和庄,联港嘉园A区,29511元,17套在售二手房,大兴义和庄/塔楼/板楼/2000-2016年
20240821,北京,大兴,义和庄,佟馨家园B区,35056元,11套在售二手房,大兴义和庄/板楼/2014-2018年
20240821,北京,大兴,义和庄,佟馨家园D区,33549元,23套在售二手房,大兴义和庄/板楼/2014-2018年
20240821,北京,大兴,义和庄,罗奇营二区社区,30638元,11套在售二手房,大兴义和庄/板楼/2000-2018年
20240821,北京,大兴,义和庄,联港嘉园C区,28606元,8套在售二手房,大兴义和庄/板楼/塔板结合/2000-2014年
20240821,北京,大兴,义和庄,联港嘉园D区,30636元,32套在售二手房,大兴义和庄/塔楼/板楼/2000-2014年
20240821,北京,大兴,义和庄,佟馨家园C区,34817元,10套在售二手房,大兴义和庄/板楼/2014-2018年
20240821,北京,大兴,义和庄,佟馨家园A区,34611元,22套在售二手房,大兴义和庄/板楼/塔板结合/2014-2018年
20240821,北京,大兴,义和庄,果岭假日,暂无数据,0套在售二手房,大兴义和庄/板楼/2014-2015年
