date,city_ch,district,area,xiaoqu,price,sale,type
20240821,北京,东城,朝阳门内,东水井胡同,92483元,2套在售二手房,东城朝阳门内/塔楼/板楼/2003-2014年
20240821,北京,东城,朝阳门内,芳嘉园胡同,102494元,9套在售二手房,东城朝阳门内/板楼/2003-2005年
20240821,北京,东城,朝阳门内,大雅宝胡同,188000元,1套在售二手房,东城朝阳门内/平房/1955-2020年
20240821,北京,东城,朝阳门内,东门仓胡同甲3号院,123182元,1套在售二手房,东城朝阳门内/板楼/1988年
20240821,北京,东城,朝阳门内,仓南胡同14号院,122041元,19套在售二手房,东城朝阳门内/板楼/1993-1994年
20240821,北京,东城,朝阳门内,朝内大街136号院,110082元,4套在售二手房,东城朝阳门内/塔楼/1984-1999年
20240821,北京,东城,朝阳门内,仓南胡同,107670元,5套在售二手房,东城朝阳门内/板楼/1979-2003年
20240821,北京,东城,朝阳门内,北竹杆胡同,102824元,5套在售二手房,东城朝阳门内/板楼/平房/1989-2006年
20240821,北京,东城,朝阳门内,仓南胡同12号院,106197元,19套在售二手房,东城朝阳门内/板楼/1988-1992年
20240821,北京,东城,朝阳门内,南门仓胡同,120405元,10套在售二手房,东城朝阳门内/板楼/平房/1989-2003年
20240821,北京,东城,朝阳门内,南竹杆胡同,108640元,3套在售二手房,东城朝阳门内/塔楼/板楼/2003-2008年
20240821,北京,东城,朝阳门内,烧酒胡同3号院,131208元,3套在售二手房,东城朝阳门内/板楼/1998-2000年
20240821,北京,东城,朝阳门内,朝阳门北小街,111353元,14套在售二手房,东城朝阳门内/板楼/平房/1980-2003年
20240821,北京,东城,朝阳门内,朝阳首府,107833元,11套在售二手房,东城朝阳门内/塔楼/板楼/2009-2010年
20240821,北京,东城,朝阳门内,大方家胡同,103371元,7套在售二手房,东城朝阳门内/板楼/平房/1990-2005年
20240821,北京,东城,朝阳门内,禄米仓胡同,118577元,2套在售二手房,东城朝阳门内/板楼/平房/1969-2003年
20240821,北京,东城,朝阳门内,禄米仓东巷,260465元,2套在售二手房,东城朝阳门内/平房/1955-2016年
20240821,北京,东城,朝阳门内,禄米仓胡同71号院,112373元,3套在售二手房,东城朝阳门内/板楼/1977-1992年
20240821,北京,东城,朝阳门内,武学胡同,184543元,3套在售二手房,东城朝阳门内/平房/1989-1990年
20240821,北京,东城,朝阳门内,西水井胡同,99014元,12套在售二手房,东城朝阳门内/板楼/塔板结合/平房/1960-2006年
20240821,北京,东城,朝阳门内,新鲜胡同,137219元,2套在售二手房,东城朝阳门内/板楼/1990年
20240821,北京,东城,朝阳门内,小雅宝胡同,172483元,3套在售二手房,东城朝阳门内/平房/1960-2021年
20240821,北京,东城,朝阳门内,竹杆胡同,104258元,20套在售二手房,东城朝阳门内/板楼/塔板结合/2003-2007年
20240821,北京,东城,朝阳门内,豆瓣胡同,130017元,36套在售二手房,东城朝阳门内/板楼/塔板结合/2003年
20240821,北京,东城,朝阳门内,东四十条甲34号院,107433元,4套在售二手房,东城朝阳门内/塔楼/板楼/1988-1990年
20240821,北京,东城,朝阳门内,朝阳门内大街75号院,122636元,5套在售二手房,东城朝阳门内/板楼/1990-1999年
20240821,北京,东城,朝阳门内,后芳嘉园胡同,110968元,2套在售二手房,东城朝阳门内/板楼/2002-2004年
20240821,北京,东城,朝阳门内,北京INN,暂无数据,13套在售二手房,东城朝阳门内/塔楼/板楼/塔板结合/2005-2008年
20240821,北京,东城,朝阳门内,朝阳门南小街,108361元,37套在售二手房,东城朝阳门内/塔楼/板楼/塔板结合/平房/1970-2005年
20240821,北京,东城,朝阳门内,朝阳门内大街,101595元,11套在售二手房,东城朝阳门内/板楼/平房/1958-2016年
20240821,北京,东城,朝阳门内,南弓匠营胡同,115583元,8套在售二手房,东城朝阳门内/板楼/2003-2012年
20240821,北京,东城,朝阳门内,东八宝胡同,暂无数据,0套在售二手房,东城朝阳门内/平房/1980年
20240821,北京,东城,朝阳门内,大方家胡同36号院,暂无数据,0套在售二手房,东城朝阳门内/板楼/1976-2001年
20240821,北京,东城,朝阳门内,大方家胡同61号院,暂无数据,0套在售二手房,东城朝阳门内/板楼/1980-2001年
20240821,北京,东城,朝阳门内,金宝街,暂无数据,0套在售二手房,东城朝阳门内/塔板结合/2004-2008年
20240821,北京,东城,朝阳门内,南新仓商务大厦,暂无数据,0套在售二手房,东城朝阳门内/塔楼/2000年
20240821,北京,东城,朝阳门内,南顺成街,暂无数据,0套在售二手房,东城朝阳门内/平房/1980年
20240821,北京,东城,朝阳门内,南水关胡同,暂无数据,0套在售二手房,东城朝阳门内/平房/1980-2009年
20240821,北京,东城,朝阳门内,仓南胡同5号院,暂无数据,0套在售二手房,东城朝阳门内/板楼/1985-2003年
20240821,北京,东城,朝阳门内,朝阳门内小街,暂无数据,0套在售二手房,东城朝阳门内/板楼/1985年
20240821,北京,东城,朝阳门内,朝阳门SOHO,暂无数据,0套在售二手房,东城朝阳门内/塔楼/未知
20240821,北京,东城,朝阳门内,春松胡同,暂无数据,0套在售二手房,东城朝阳门内/平房/1955年
20240821,北京,东城,朝阳门内,小牌坊胡同,暂无数据,0套在售二手房,东城朝阳门内/平房/1980年
20240821,北京,东城,朝阳门内,银河SOHO,暂无数据,0套在售二手房,东城朝阳门内/塔楼/2010年
20240821,北京,东城,朝阳门内,朝阳门内南小街,暂无数据,0套在售二手房,东城朝阳门内/板楼/1990年
