date,city_ch,district,area,xiaoqu,price,sale,type
20240821,北京,东城,金宝街,禾风相府,125048元,12套在售二手房,东城金宝街/板楼/塔板结合/2004-2011年
20240821,北京,东城,金宝街,本司胡同,暂无数据,1套在售二手房,东城金宝街/平房/1970-2000年
20240821,北京,东城,金宝街,内务部街,194495元,3套在售二手房,东城金宝街/板楼/平房/1970-2010年
20240821,北京,东城,金宝街,朝阳门内大街甲190号院,92289元,2套在售二手房,东城金宝街/板楼/1978-1998年
20240821,北京,东城,金宝街,史家胡同,174180元,5套在售二手房,东城金宝街/板楼/平房/1950-2010年
20240821,北京,东城,金宝街,史家胡同20号院,109045元,1套在售二手房,东城金宝街/板楼/1960-1991年
20240821,北京,东城,金宝街,演乐胡同,162414元,4套在售二手房,东城金宝街/板楼/平房/1970-2010年
20240821,北京,东城,金宝街,鸿安国际大厦,92503元,5套在售二手房,东城金宝街/塔板结合/2002-2004年
20240821,北京,东城,金宝街,干面胡同,155882元,1套在售二手房,东城金宝街/平房/1955-1990年
20240821,北京,东城,金宝街,后拐棒胡同甲2号院,117808元,2套在售二手房,东城金宝街/板楼/1985-1988年
20240821,北京,东城,金宝街,西花厅胡同,182573元,1套在售二手房,东城金宝街/平房/2021年
20240821,北京,东城,金宝街,遂安伯,暂无数据,1套在售二手房,东城金宝街/平房/未知
20240821,北京,东城,金宝街,凯德华玺,暂无数据,10套在售二手房,东城金宝街/塔楼/2008-2009年
20240821,北京,东城,金宝街,东罗圈胡同,289713元,4套在售二手房,东城金宝街/平房/1955-1999年
20240821,北京,东城,金宝街,东罗圈胡同11号院,116184元,3套在售二手房,东城金宝街/板楼/1958-1988年
20240821,北京,东城,金宝街,礼士胡同甲66号院,110915元,4套在售二手房,东城金宝街/板楼/1980年
20240821,北京,东城,金宝街,礼士胡同,暂无数据,1套在售二手房,东城金宝街/平房/1970-2019年
20240821,北京,东城,金宝街,禾风仕家,105706元,3套在售二手房,东城金宝街/塔楼/塔板结合/2000-2004年
20240821,北京,东城,金宝街,后拐棒胡同,暂无数据,0套在售二手房,东城金宝街/平房/1980-1985年
20240821,北京,东城,金宝街,前炒面胡同,暂无数据,0套在售二手房,东城金宝街/平房/1980-1999年
20240821,北京,东城,金宝街,前拐棒胡同,暂无数据,0套在售二手房,东城金宝街/平房/1980年
20240821,北京,东城,金宝街,灯草胡同,暂无数据,0套在售二手房,东城金宝街/平房/1950-1980年
20240821,北京,东城,金宝街,红星胡同,暂无数据,0套在售二手房,东城金宝街/板楼/平房/1990年
20240821,北京,东城,金宝街,西罗圈胡同,暂无数据,0套在售二手房,东城金宝街/板楼/未知
20240821,北京,东城,金宝街,东四南大街,暂无数据,0套在售二手房,东城金宝街/平房/1970-1980年
20240821,北京,东城,金宝街,东花厅胡同,暂无数据,0套在售二手房,东城金宝街/板楼/平房/未知
20240821,北京,东城,金宝街,东石槽胡同,暂无数据,0套在售二手房,东城金宝街/平房/1995年
20240821,北京,东城,金宝街,西罗圈胡同甲2号院,暂无数据,0套在售二手房,东城金宝街/平房/未知
