date,city_ch,district,area,xiaoqu,price,sale,type
20240821,北京,丰台,丽泽,泥洼路32号院,57567元,3套在售二手房,丰台丽泽/板楼/1994-1995年
20240821,北京,丰台,丽泽,泥洼路30号院,73539元,1套在售二手房,丰台丽泽/板楼/1994-2000年
20240821,北京,丰台,丽泽,前泥洼小区,56742元,51套在售二手房,丰台丽泽/塔楼/板楼/1990-2006年
20240821,北京,丰台,丽泽,盛鑫嘉园,62479元,25套在售二手房,丰台丽泽/塔楼/2001-2005年
20240821,北京,丰台,丽泽,丰益花园东区,61073元,51套在售二手房,丰台丽泽/塔楼/板楼/2000-2003年
20240821,北京,丰台,丽泽,泰禾西府大院,146537元,4套在售二手房,丰台丽泽/板楼/2018-2021年
20240821,北京,丰台,丽泽,玉璞家园,57331元,60套在售二手房,丰台丽泽/板楼/塔板结合/2016-2017年
20240821,北京,丰台,丽泽,精图小区56号院,49136元,6套在售二手房,丰台丽泽/板楼/1996-2000年
20240821,北京,丰台,丽泽,东瑞丽景,59625元,4套在售二手房,丰台丽泽/塔楼/2007年
20240821,北京,丰台,丽泽,丽泽景园,73560元,31套在售二手房,丰台丽泽/板楼/1992-2014年
20240821,北京,丰台,丽泽,益丰苑,92258元,25套在售二手房,丰台丽泽/板楼/2010-2012年
20240821,北京,丰台,丽泽,丰管路甲52号院,59988元,3套在售二手房,丰台丽泽/板楼/2006-2013年
20240821,北京,丰台,丽泽,丰益花园西区,62785元,27套在售二手房,丰台丽泽/塔楼/板楼/2000-2003年
20240821,北京,丰台,丽泽,西宸原著,122341元,10套在售二手房,丰台丽泽/板楼/2016年
20240821,北京,丰台,丽泽,保利百合,98759元,49套在售二手房,丰台丽泽/板楼/2009-2010年
20240821,北京,丰台,丽泽,优橙创新中心,暂无数据,0套在售二手房,丰台丽泽/板楼/未知
20240821,北京,丰台,丽泽,金融街·融府,暂无数据,0套在售二手房,丰台丽泽/板楼/2020年
20240821,北京,丰台,丽泽,泰禾西府玉苑,暂无数据,0套在售二手房,丰台丽泽/板楼/2016-2019年
20240821,北京,丰台,丽泽,东局,71342元,0套在售二手房,丰台丽泽/板楼/1978年
20240821,北京,丰台,丽泽,前泥洼1号楼,暂无数据,0套在售二手房,丰台丽泽/板楼/1999年
