date,city_ch,district,area,xiaoqu,price,sale,type
20240821,北京,丰台,卢沟桥,卢沟桥南里,37971元,59套在售二手房,丰台卢沟桥/板楼/1978-2003年
20240821,北京,丰台,卢沟桥,卢沟桥南里甲八号院,33794元,11套在售二手房,丰台卢沟桥/板楼/2000-2003年
20240821,北京,丰台,卢沟桥,新月家园,39737元,11套在售二手房,丰台卢沟桥/板楼/2002-2004年
20240821,北京,丰台,卢沟桥,晓月苑北里,33167元,4套在售二手房,丰台卢沟桥/板楼/1998-2001年
20240821,北京,丰台,卢沟桥,晓月苑五里,34310元,34套在售二手房,丰台卢沟桥/塔楼/2003-2007年
20240821,北京,丰台,卢沟桥,晓月新苑,35298元,28套在售二手房,丰台卢沟桥/塔板结合/2007-2008年
20240821,北京,丰台,卢沟桥,晓月苑三里,34870元,12套在售二手房,丰台卢沟桥/板楼/1990-2002年
20240821,北京,丰台,卢沟桥,鑫融皓月,47229元,13套在售二手房,丰台卢沟桥/板楼/2008年
20240821,北京,丰台,卢沟桥,沸城,38271元,77套在售二手房,丰台卢沟桥/塔板结合/2007-2010年
20240821,北京,丰台,卢沟桥,银海星月,44065元,26套在售二手房,丰台卢沟桥/板楼/2003-2006年
20240821,北京,丰台,卢沟桥,晓月中路20号院,38952元,12套在售二手房,丰台卢沟桥/塔楼/板楼/塔板结合/2014-2018年
20240821,北京,丰台,卢沟桥,晓月苑一里,34710元,29套在售二手房,丰台卢沟桥/板楼/1990-1999年
20240821,北京,丰台,卢沟桥,晓月苑二里,34051元,38套在售二手房,丰台卢沟桥/板楼/塔板结合/1997-1998年
20240821,北京,丰台,卢沟桥,晓月新城,35583元,39套在售二手房,丰台卢沟桥/塔楼/板楼/2007-2009年
20240821,北京,丰台,卢沟桥,卢沟桥北里,41220元,21套在售二手房,丰台卢沟桥/板楼/1970-2001年
20240821,北京,丰台,卢沟桥,沙岗村,暂无数据,0套在售二手房,丰台卢沟桥/板楼/1990-1996年
20240821,北京,丰台,卢沟桥,晓月家园,暂无数据,0套在售二手房,丰台卢沟桥/板楼/1990-2013年
20240821,北京,丰台,卢沟桥,卢沟桥城北路,暂无数据,0套在售二手房,丰台卢沟桥/板楼/1998年
20240821,北京,丰台,卢沟桥,京城雅苑,暂无数据,0套在售二手房,丰台卢沟桥/板楼/2019-2021年
20240821,北京,丰台,卢沟桥,中筑西府海棠,暂无数据,0套在售二手房,丰台卢沟桥/板楼/2019-2021年
